"Type","Content"
"CEBWORD","usa<sub>1</sub>"
"TEXT","<i lang=""cebword"">numeral</i> one."
"NUMBER","1"
"CEBWORD","— ka a"
"TEXT","one."
"CEBPHRASE","Sa usa ka púlung siyay nidaug,"
"TEXT","In short, he won. <b>b</b> a certain (unnamed) one."
"CEBPHRASE","May usa ka hárì nga taas kaáyu ug búngut,"
"TEXT","There was once a king who had a very long beard."
"CEBWORD","— niánà ka <span class=""rm"">[<i lang=""ceb"">word referring to time</i>]</span>"
"TEXT","one [time]."
"CEBPHRASE","Usa niánà ka adlaw, miadtu siya sa hárì,"
"TEXT","One day, he went to the king."
"NUMBER","2"
"CEBWORD","— nga"
"TEXT","the other one of the two or more."
"CEBPHRASE","Anhi ka áning manúka pusta? Adtu kus usa,"
"TEXT","Will you bet on this cock? I will bet on the other one."
"CEBPHRASE","Adtu líkù sa usang iskína,"
"TEXT","Turn into the next corner."
"NUMBER","2a"
"TEXT","the other day, week, month, year that passed."
"CEBPHRASE","Dinhi siya sa usang adlaw,"
"TEXT","He was here the other day."
"NUMBER","3"
"CEBWORD","ísig (isig) —"
"TEXT","each, each one."
"CEBPHRASE","ísig (isig) usa ninyu mubáyad nákù ug singku písus,"
"TEXT","Each (each one) of you will pay me five pesos."
"NUMBER","4"
"CEBWORD","— ug —"
"TEXT","each and every one."
"CEBPHRASE","Usag usa ninyu magdala sa íyang galamitun,"
"TEXT","Each and every one of you must bring his own tools."
"NUMBER","5a"
"CEBWORD","— usab, sad, upud"
"TEXT","[so-and-so] is another one who will [do]."
"CEBPHRASE","Usa sad siya sa mungadtu,"
"TEXT","He is also a member of the group going there."
"NUMBER","5b"
"CEBWORD","— ka pa"
"TEXT","you’re another one who does [such-and-such a bad thing]."
"CEBPHRASE","Usa ka pang danghag,"
"TEXT","You’re another careless fellow."
"WORDTYPE","v"
"NUMBER","1"
"CLASS","[A12; a12]"
"TEXT","be, become resolved or decided."
