"Type","Content"
"CEBWORD","abága"
"WORDTYPE","n"
"TEXT","shoulder."
"WORDTYPE","v"
"CLASS","[A2SN; b5]"
"NUMBER","1"
"TEXT","take financial responsibility."
"CEBPHRASE","Abagáhun (pangabagáhun, pangabagáhan) ni Mánuy níya ang galastúhan sa pag-iskuyla,"
"TEXT","His brother will shoulder his school expenses."
"NUMBER","2"
"TEXT","take responsibility for accomplishing s.t."
"CEBPHRASE","Kita giyuy muabága (mangabága) áning prugramáha,"
"TEXT","We must undertake to carry out this program."
"CEBWORD","(→)"
"LINK","abága: v"
"CEBWORD","paN-"
"WORDTYPE","n"
"TEXT","right-hand-man."
"CEBWORD","abagáhun"
"WORDTYPE","a"
"TEXT","broad-shouldered."
